Date,Product,Category,Region,Units_Sold,Cost Price,Revenue,Selling Price,Profit,Profit_Margin
2023-09-29,Monitor,Accessories,Europe,14,630.88,8832.32,7893.16,7262.28,82.22
2024-04-13,Smartphone,Electronics,North America,19,902.84,17153.96,13540.33,12637.49,73.67
2024-04-14,Printer,Accessories,North America,2,415.07,830.14,658.74,243.67,29.35
2024-07-04,Tablet,Electronics,Asia,15,543.27,8149.05,5366.74,4823.47,59.19
2023-12-24,Laptop,Electronics,Europe,16,352.7,5643.2,3427.09,3074.39,54.48
2023-10-19,Tablet,Electronics,South America,17,139.24,2367.08,2126.5,1987.26,83.95
2024-12-21,Smartphone,Electronics,North America,14,923.38,12927.32,9191.94,8268.56,63.96
2023-11-03,Router,Accessories,North America,9,957.76,8619.84,6027.21,5069.45,58.81
2023-09-28,Laptop,Electronics,North America,14,969.99,13579.86,12073.66,11103.67,81.77
2023-06-09,Smartphone,Electronics,Asia,1,167.81,167.81,116.08,-51.73,-30.83
2023-08-04,Router,Accessories,Asia,1,385.23,385.23,250.73,-134.5,-34.91
2024-12-04,Router,Accessories,Asia,10,942.54,9425.4,7623.35,6680.81,70.88
2024-05-15,Smartphone,Electronics,North America,8,163.37,1306.96,866.09,702.72,53.77
2024-10-11,Monitor,Accessories,Asia,15,991.05,14865.75,9544.19,8553.14,57.54
2023-01-04,Smartphone,Electronics,Europe,10,889.64,8896.4,7314.89,6425.25,72.22
2023-06-15,Router,Accessories,South America,1,222.96,222.96,181.19,-41.77,-18.73
2023-03-19,Router,Accessories,Europe,3,330.59,991.77,777.01,446.42,45.01
2023-02-06,Smartphone,Electronics,Europe,7,551.36,3859.52,3240.02,2688.66,69.66
2023-05-11,Laptop,Electronics,Asia,1,163.85,163.85,117.81,-46.04,-28.1
2023-02-10,Smartphone,Electronics,Europe,14,901.0,12614.0,8847.44,7946.44,63.0
2024-11-13,Laptop,Electronics,Asia,2,184.58,369.16,285.54,100.96,27.35
2024-02-21,Printer,Accessories,Europe,19,519.04,9861.76,7522.49,7003.45,71.02
2023-06-16,Tablet,Electronics,South America,17,133.61,2271.37,1923.35,1789.74,78.8
2023-07-03,Router,Accessories,Asia,11,214.35,2357.85,1784.12,1569.77,66.58
2024-11-16,Router,Accessories,Europe,12,968.73,11624.76,8569.54,7600.81,65.38
2023-06-13,Router,Accessories,North America,6,146.51,879.06,667.56,521.05,59.27
2023-02-09,Monitor,Accessories,Europe,15,729.56,10943.4,7020.26,6290.7,57.48
2024-04-16,Smartphone,Electronics,Asia,16,978.27,15652.32,11815.78,10837.51,69.24
2023-08-17,Laptop,Electronics,Europe,19,815.67,15497.73,10557.82,9742.15,62.86
2023-12-26,Router,Accessories,South America,9,719.65,6476.85,3999.18,3279.53,50.63
2023-04-22,Printer,Accessories,South America,1,959.38,959.38,788.01,-171.37,-17.86
2023-11-18,Monitor,Accessories,North America,5,650.55,3252.75,2361.11,1710.56,52.59
2024-08-13,Tablet,Electronics,Asia,12,609.43,7313.16,4735.96,4126.53,56.43
2024-12-26,Monitor,Accessories,North America,14,182.62,2556.68,1606.23,1423.61,55.68
2024-07-05,Router,Accessories,Europe,14,981.56,13741.84,8967.91,7986.35,58.12
2023-11-18,Router,Accessories,North America,7,411.67,2881.69,2130.73,1719.06,59.65
2024-06-03,Smartphone,Electronics,South America,5,458.65,2293.25,1799.64,1340.99,58.48
2024-02-17,Router,Accessories,Asia,5,898.01,4490.05,3045.46,2147.45,47.83
2023-05-11,Tablet,Electronics,South America,10,663.27,6632.7,4980.77,4317.5,65.09
2024-11-24,Router,Accessories,Europe,1,585.44,585.44,471.39,-114.05,-19.48
2024-08-05,Smartphone,Electronics,South America,16,163.51,2616.16,2073.9,1910.39,73.02
2023-01-01,Smartphone,Electronics,Asia,17,880.48,14968.16,11838.63,10958.15,73.21
2024-03-16,Printer,Accessories,Asia,12,449.35,5392.2,4275.94,3826.59,70.97
2024-03-28,Monitor,Accessories,Europe,1,830.08,830.08,702.41,-127.67,-15.38
2024-04-29,Router,Accessories,Europe,12,447.49,5369.88,4770.37,4322.88,80.5
2023-10-18,Printer,Accessories,Asia,10,286.02,2860.2,1951.2,1665.18,58.22
2023-08-29,Router,Accessories,Asia,12,190.7,2288.4,1385.55,1194.85,52.21
2023-07-23,Tablet,Electronics,North America,19,656.43,12472.17,8742.57,8086.14,64.83
2024-02-29,Router,Accessories,Europe,2,334.63,669.26,501.15,166.52,24.88
2024-05-21,Monitor,Accessories,Europe,18,666.05,11988.9,10349.32,9683.27,80.77
2024-03-11,Tablet,Electronics,Europe,4,259.7,1038.8,857.2,597.5,57.52
2024-04-20,Laptop,Electronics,Europe,3,991.45,2974.35,2152.79,1161.34,39.05
2024-04-12,Tablet,Electronics,South America,18,325.01,5850.18,4528.99,4203.98,71.86
2024-07-26,Printer,Accessories,Asia,5,314.74,1573.7,1265.18,950.44,60.4
2024-09-19,Router,Accessories,South America,3,192.81,578.43,503.68,310.87,53.74
2024-04-01,Tablet,Electronics,South America,16,450.66,7210.56,4970.17,4519.51,62.68
2023-09-23,Tablet,Electronics,Asia,19,450.28,8555.32,5161.01,4710.73,55.06
2024-05-11,Router,Accessories,Europe,9,862.43,7761.87,5483.54,4621.11,59.54
2024-03-26,Laptop,Electronics,Asia,14,709.09,9927.26,7393.39,6684.3,67.33
2023-10-06,Smartphone,Electronics,Asia,15,174.96,2624.4,1646.84,1471.88,56.08
2023-03-24,Tablet,Electronics,Europe,12,395.8,4749.6,3808.02,3412.22,71.84
2024-01-28,Router,Accessories,Europe,4,951.58,3806.32,3175.95,2224.37,58.44
2023-03-07,Monitor,Accessories,South America,7,182.09,1274.63,953.84,771.75,60.55
2024-07-09,Monitor,Accessories,South America,7,996.34,6974.38,4301.53,3305.19,47.39
2023-07-31,Monitor,Accessories,South America,3,898.93,2696.79,1901.98,1003.05,37.19
2024-12-13,Laptop,Electronics,South America,18,971.79,17492.22,14105.88,13134.09,75.09
2023-01-07,Smartphone,Electronics,Asia,12,880.18,10562.16,8994.15,8113.97,76.82
2024-03-05,Printer,Accessories,Europe,14,730.87,10232.18,6362.67,5631.8,55.04
2023-08-13,Smartphone,Electronics,South America,18,902.71,16248.78,10463.91,9561.2,58.84
2023-01-30,Monitor,Accessories,Asia,5,309.91,1549.55,1199.96,890.05,57.44
2023-06-19,Monitor,Accessories,Europe,13,433.58,5636.54,4756.34,4322.76,76.69
2024-06-30,Laptop,Electronics,South America,7,987.4,6911.8,5709.24,4721.84,68.32
2024-07-31,Router,Accessories,North America,6,737.36,4424.16,3293.79,2556.43,57.78
2024-10-20,Monitor,Accessories,Europe,12,602.56,7230.72,5258.66,4656.1,64.39
2023-07-06,Laptop,Electronics,Asia,19,200.08,3801.52,2842.73,2642.65,69.52
2023-12-02,Tablet,Electronics,South America,13,464.68,6040.84,4660.16,4195.48,69.45
2023-12-12,Monitor,Accessories,Asia,8,205.77,1646.16,1308.31,1102.54,66.98
2023-09-16,Laptop,Electronics,South America,1,712.94,712.94,478.56,-234.38,-32.88
2024-07-06,Laptop,Electronics,Asia,17,174.6,2968.2,2251.41,2076.81,69.97
2024-10-27,Laptop,Electronics,North America,6,821.9,4931.4,4405.57,3583.67,72.67
2023-09-11,Tablet,Electronics,North America,13,138.84,1804.92,1565.48,1426.64,79.04
2023-06-06,Tablet,Electronics,Europe,11,927.2,10199.2,6893.61,5966.41,58.5
2024-11-16,Laptop,Electronics,Europe,19,972.37,18475.03,13984.29,13011.92,70.43
2024-12-17,Smartphone,Electronics,Asia,9,295.13,2656.17,1828.37,1533.24,57.72
2023-11-15,Laptop,Electronics,North America,16,763.39,12214.24,10682.28,9918.89,81.21
2024-08-12,Router,Accessories,South America,10,955.37,9553.7,8283.81,7328.44,76.71
2023-07-23,Laptop,Electronics,Europe,12,196.08,2352.96,1648.71,1452.63,61.74
2024-12-14,Smartphone,Electronics,North America,4,517.33,2069.32,1460.95,943.62,45.6
2023-02-12,Smartphone,Electronics,South America,18,339.34,6108.12,4325.18,3985.84,65.25
2023-03-12,Printer,Accessories,Asia,4,987.59,3950.36,3197.61,2210.02,55.94
2024-03-06,Monitor,Accessories,North America,17,351.79,5980.43,4326.02,3974.23,66.45
2024-01-06,Router,Accessories,South America,13,716.26,9311.38,6041.08,5324.82,57.19
2024-03-21,Tablet,Electronics,Asia,14,168.58,2360.12,2082.0,1913.42,81.07
2024-07-05,Monitor,Accessories,South America,19,753.15,14309.85,11219.27,10466.12,73.14
2024-08-29,Smartphone,Electronics,Asia,2,174.47,348.94,301.13,126.66,36.3
2023-03-30,Smartphone,Electronics,South America,13,248.35,3228.55,2335.46,2087.11,64.65
2024-04-20,Printer,Accessories,South America,1,532.33,532.33,476.75,-55.58,-10.44
2023-01-30,Monitor,Accessories,Asia,11,634.72,6981.92,4986.96,4352.24,62.34
2024-05-14,Tablet,Electronics,Asia,17,854.5,14526.5,10758.44,9903.94,68.18
2023-12-15,Smartphone,Electronics,Asia,3,220.47,661.41,399.56,179.09,27.08
2023-01-11,Printer,Accessories,Europe,6,722.54,4335.24,3296.1,2573.56,59.36
2023-09-05,Router,Accessories,South America,5,996.97,4984.85,3821.53,2824.56,56.66
2024-07-22,Tablet,Electronics,South America,5,753.51,3767.55,3116.23,2362.72,62.71
2023-08-15,Monitor,Accessories,Europe,14,326.3,4568.2,3117.43,2791.13,61.1
2024-11-10,Printer,Accessories,Asia,4,305.78,1223.12,980.34,674.56,55.15
2024-07-20,Printer,Accessories,Asia,2,422.35,844.7,535.6,113.25,13.41
2024-07-17,Smartphone,Electronics,Asia,2,528.59,1057.18,897.98,369.39,34.94
2023-10-05,Smartphone,Electronics,Asia,18,866.96,15605.28,11946.97,11080.01,71.0
2023-05-04,Router,Accessories,Europe,5,179.57,897.85,751.99,572.42,63.75
2023-05-03,Router,Accessories,Europe,17,220.61,3750.37,2282.61,2062.0,54.98
2023-08-10,Router,Accessories,South America,15,806.2,12093.0,9575.34,8769.14,72.51
2024-08-26,Printer,Accessories,Asia,11,291.67,3208.37,2056.28,1764.61,55.0
2023-07-18,Smartphone,Electronics,Europe,2,415.53,831.06,645.71,230.18,27.7
2023-07-03,Smartphone,Electronics,North America,15,493.73,7405.95,6452.42,5958.69,80.46
2023-05-10,Smartphone,Electronics,North America,6,505.82,3034.92,2649.91,2144.09,70.65
2024-07-20,Smartphone,Electronics,Europe,10,876.13,8761.3,7752.49,6876.36,78.49
2023-04-16,Laptop,Electronics,Asia,4,513.41,2053.64,1750.99,1237.58,60.26
2024-05-05,Monitor,Accessories,Asia,17,332.42,5651.14,4169.08,3836.66,67.89
2023-02-22,Smartphone,Electronics,South America,2,658.73,1317.46,927.79,269.06,20.42
2023-03-08,Monitor,Accessories,South America,11,621.68,6838.48,4803.82,4182.14,61.16
2023-06-02,Printer,Accessories,Asia,11,224.94,2474.34,1960.33,1735.39,70.14
2023-09-12,Laptop,Electronics,South America,8,726.85,5814.8,4207.0,3480.15,59.85
2024-09-02,Printer,Accessories,Europe,3,563.71,1691.13,1508.37,944.66,55.86
2024-01-25,Monitor,Accessories,South America,19,136.78,2598.82,1691.0,1554.22,59.8
2024-08-25,Monitor,Accessories,Asia,10,259.31,2593.1,1624.86,1365.55,52.66
2024-10-02,Tablet,Electronics,Asia,14,427.84,5989.76,4498.46,4070.62,67.96
2023-06-10,Tablet,Electronics,Europe,13,389.42,5062.46,3177.64,2788.22,55.08
2024-04-06,Router,Accessories,South America,11,928.79,10216.69,6317.22,5388.43,52.74
2023-02-03,Tablet,Electronics,Asia,4,825.58,3302.32,2722.69,1897.11,57.45
2024-12-20,Monitor,Accessories,North America,15,582.93,8743.95,7670.3,7087.37,81.05
2023-04-28,Printer,Accessories,Europe,2,772.72,1545.44,944.27,171.55,11.1
2023-09-30,Tablet,Electronics,North America,19,742.01,14098.19,12245.15,11503.14,81.59
2023-06-19,Smartphone,Electronics,Asia,14,774.65,10845.1,6606.2,5831.55,53.77
2023-05-08,Monitor,Accessories,Asia,18,502.67,9048.06,6874.58,6371.91,70.42
2023-10-06,Printer,Accessories,South America,15,194.38,2915.7,2394.44,2200.06,75.46
2023-11-27,Printer,Accessories,Asia,12,309.89,3718.68,2613.78,2303.89,61.95
2023-04-04,Tablet,Electronics,North America,4,419.59,1678.36,1333.7,914.11,54.46
2024-08-13,Laptop,Electronics,Europe,18,178.23,3208.14,2441.82,2263.59,70.56
2024-06-15,Router,Accessories,South America,2,601.97,1203.94,934.21,332.24,27.6
2023-07-05,Printer,Accessories,South America,12,214.82,2577.84,1766.16,1551.34,60.18
2023-04-04,Monitor,Accessories,Asia,6,909.68,5458.08,4269.67,3359.99,61.56
2023-12-08,Smartphone,Electronics,North America,13,397.31,5165.03,4545.78,4148.47,80.32
2023-12-04,Monitor,Accessories,South America,6,428.82,2572.92,1920.28,1491.46,57.97
2023-04-01,Smartphone,Electronics,Asia,9,172.21,1549.89,1173.81,1001.6,64.62
2023-04-29,Monitor,Accessories,North America,8,727.27,5818.16,5231.55,4504.28,77.42
2024-04-18,Monitor,Accessories,North America,6,458.07,2748.42,2448.41,1990.34,72.42
2024-06-14,Smartphone,Electronics,South America,4,104.77,419.08,374.04,269.27,64.25
2023-02-22,Tablet,Electronics,Asia,6,701.78,4210.68,3700.4,2998.62,71.21
2023-05-05,Laptop,Electronics,Europe,13,792.54,10303.02,6759.95,5967.41,57.92
2024-02-22,Laptop,Electronics,Europe,17,576.86,9806.62,7964.63,7387.77,75.33
2024-04-17,Laptop,Electronics,Europe,14,359.77,5036.78,3900.34,3540.57,70.29
2023-10-26,Printer,Accessories,Asia,11,938.81,10326.91,7189.52,6250.71,60.53
2024-05-09,Monitor,Accessories,Europe,3,146.64,439.92,308.38,161.74,36.77
2024-09-05,Printer,Accessories,Europe,2,390.12,780.24,657.71,267.59,34.3
2023-10-10,Monitor,Accessories,Asia,1,224.94,224.94,135.15,-89.79,-39.92
2023-10-01,Laptop,Electronics,Asia,9,636.07,5724.63,4244.66,3608.59,63.04
2024-08-24,Printer,Accessories,South America,3,413.98,1241.94,1091.49,677.51,54.55
2024-04-02,Printer,Accessories,South America,12,467.67,5612.04,4937.93,4470.26,79.65
2023-12-07,Printer,Accessories,South America,11,944.51,10389.61,6798.65,5854.14,56.35
2023-11-26,Tablet,Electronics,Europe,3,933.8,2801.4,2287.28,1353.48,48.31
2023-11-22,Router,Accessories,South America,3,247.84,743.52,627.81,379.97,51.1
2024-01-31,Router,Accessories,Europe,14,570.76,7990.64,5654.57,5083.81,63.62
2023-02-07,Tablet,Electronics,Asia,13,629.48,8183.24,6586.65,5957.17,72.8
2024-03-26,Laptop,Electronics,South America,8,495.22,3961.76,2825.07,2329.85,58.81
2023-05-28,Monitor,Accessories,Europe,19,661.69,12572.11,9579.12,8917.43,70.93
2024-04-25,Smartphone,Electronics,Asia,15,619.74,9296.1,6568.71,5948.97,63.99
2024-12-10,Monitor,Accessories,North America,15,445.5,6682.5,5099.19,4653.69,69.64
2024-11-21,Printer,Accessories,South America,8,306.12,2448.96,1868.2,1562.08,63.79
2024-10-03,Router,Accessories,South America,6,945.85,5675.1,4473.75,3527.9,62.16
2023-02-06,Printer,Accessories,North America,8,724.35,5794.8,3766.73,3042.38,52.5
2024-10-08,Router,Accessories,Asia,15,658.07,9871.05,7502.38,6844.31,69.34
2024-03-30,Tablet,Electronics,Asia,1,736.28,736.28,613.74,-122.54,-16.64
2024-01-03,Smartphone,Electronics,South America,10,544.58,5445.8,4500.36,3955.78,72.64
2023-09-08,Printer,Accessories,South America,6,582.83,3496.98,2495.61,1912.78,54.7
2024-11-29,Tablet,Electronics,Europe,13,214.74,2791.62,2007.69,1792.95,64.23
2023-03-22,Printer,Accessories,South America,8,234.93,1879.44,1256.92,1021.99,54.38
2024-11-30,Tablet,Electronics,South America,12,794.69,9536.28,5756.68,4961.99,52.03
2023-05-27,Tablet,Electronics,South America,19,724.55,13766.45,10501.29,9776.74,71.02
2023-10-22,Router,Accessories,Europe,10,408.27,4082.7,2728.08,2319.81,56.82
2024-03-28,Smartphone,Electronics,Asia,15,359.14,5387.1,4226.1,3866.96,71.78
2024-12-07,Smartphone,Electronics,South America,13,225.2,2927.6,1845.09,1619.89,55.33
2023-08-31,Monitor,Accessories,Asia,12,191.99,2303.88,2017.34,1825.35,79.23
2024-11-05,Monitor,Accessories,Asia,10,794.12,7941.2,5656.76,4862.64,61.23
2024-05-23,Smartphone,Electronics,Europe,8,856.4,6851.2,5982.51,5126.11,74.82
2023-12-27,Tablet,Electronics,Europe,1,201.91,201.91,180.8,-21.11,-10.46
2023-09-14,Router,Accessories,Europe,14,267.69,3747.66,3190.19,2922.5,77.98
2024-10-04,Router,Accessories,North America,1,882.91,882.91,667.17,-215.74,-24.44
2024-03-27,Laptop,Electronics,Asia,8,647.1,5176.8,3695.16,3048.06,58.88
2023-04-03,Smartphone,Electronics,Asia,9,285.02,2565.18,2145.35,1860.33,72.52
2023-06-29,Tablet,Electronics,Europe,9,202.84,1825.56,1322.35,1119.51,61.32
2024-01-10,Printer,Accessories,Asia,11,930.66,10237.26,7572.6,6641.94,64.88
2023-09-21,Monitor,Accessories,Asia,2,926.61,1853.22,1438.32,511.71,27.61
2023-04-28,Monitor,Accessories,North America,12,921.47,11057.64,7458.02,6536.55,59.11
2024-01-10,Laptop,Electronics,South America,1,426.15,426.15,329.92,-96.23,-22.58
2023-09-28,Printer,Accessories,North America,18,697.18,12549.24,8199.81,7502.63,59.79
2024-01-13,Router,Accessories,Asia,9,233.8,2104.2,1524.26,1290.46,61.33
2024-11-22,Tablet,Electronics,South America,13,457.59,5948.67,4330.85,3873.26,65.11
2024-09-26,Printer,Accessories,Asia,19,414.45,7874.55,5830.86,5416.41,68.78
2023-08-15,Router,Accessories,North America,17,132.89,2259.13,1675.42,1542.53,68.28
2024-12-18,Smartphone,Electronics,South America,8,628.71,5029.68,3461.49,2832.78,56.32
2023-05-24,Laptop,Electronics,North America,19,507.96,9651.24,7309.05,6801.09,70.47
2024-05-19,Laptop,Electronics,North America,17,460.69,7831.73,6013.92,5553.23,70.91
2024-01-15,Router,Accessories,South America,7,777.92,5445.44,3712.11,2934.19,53.88
2024-09-22,Monitor,Accessories,Asia,18,880.29,15845.22,11446.51,10566.22,66.68
2024-12-07,Smartphone,Electronics,Europe,3,307.97,923.91,740.58,432.61,46.82
2024-03-31,Tablet,Electronics,Asia,8,193.7,1549.6,1301.62,1107.92,71.5
2024-12-03,Smartphone,Electronics,Asia,3,898.71,2696.13,2067.98,1169.27,43.37
2024-02-12,Smartphone,Electronics,Europe,8,189.5,1516.0,1020.19,830.69,54.79
2024-04-10,Laptop,Electronics,Europe,14,642.88,9000.32,7578.76,6935.88,77.06
2023-01-22,Laptop,Electronics,Asia,16,457.47,7319.52,5858.73,5401.26,73.79
2023-05-09,Printer,Accessories,Europe,14,363.83,5093.62,4425.85,4062.02,79.75
2024-07-21,Tablet,Electronics,Europe,7,669.92,4689.44,3848.96,3179.04,67.79
2023-12-03,Tablet,Electronics,North America,19,210.5,3999.5,3451.3,3240.8,81.03
2023-05-29,Tablet,Electronics,Asia,18,903.4,16261.2,13744.5,12841.1,78.97
2023-01-16,Smartphone,Electronics,Europe,12,847.59,10171.08,7155.94,6308.35,62.02
2023-11-28,Laptop,Electronics,Europe,9,492.51,4432.59,3051.13,2558.62,57.72
2023-02-23,Tablet,Electronics,South America,12,226.1,2713.2,2334.82,2108.72,77.72
2023-04-27,Router,Accessories,North America,14,523.96,7335.44,4802.01,4278.05,58.32
2024-04-04,Smartphone,Electronics,North America,18,120.22,2163.96,1472.8,1352.58,62.5
2023-11-05,Monitor,Accessories,North America,9,225.42,2028.78,1725.43,1500.01,73.94
2024-05-05,Monitor,Accessories,South America,4,219.05,876.2,762.44,543.39,62.02
2024-05-17,Router,Accessories,South America,2,345.08,690.16,417.9,72.82,10.55
2023-03-24,Smartphone,Electronics,Europe,18,576.7,10380.6,8766.59,8189.89,78.9
2023-05-10,Smartphone,Electronics,Asia,9,346.65,3119.85,2390.6,2043.95,65.51
2024-09-03,Printer,Accessories,Asia,6,846.77,5080.62,3363.0,2516.23,49.53
2024-06-01,Printer,Accessories,South America,10,226.02,2260.2,1534.91,1308.89,57.91
2024-12-19,Laptop,Electronics,Europe,6,758.97,4553.82,3074.83,2315.86,50.86
2024-04-07,Tablet,Electronics,South America,13,698.53,9080.89,5926.29,5227.76,57.57
2024-04-09,Monitor,Accessories,South America,13,854.3,11105.9,8010.85,7156.55,64.44
2023-11-17,Monitor,Accessories,Asia,14,142.27,1991.78,1294.43,1152.16,57.85
2024-01-19,Tablet,Electronics,South America,11,265.93,2925.23,1834.41,1568.48,53.62
2023-04-04,Laptop,Electronics,North America,19,320.81,6095.39,4369.11,4048.3,66.42
2023-04-09,Router,Accessories,Asia,8,493.47,3947.76,3452.92,2959.45,74.97
2024-07-23,Laptop,Electronics,Asia,7,649.36,4545.52,4021.84,3372.48,74.19
2024-02-25,Smartphone,Electronics,South America,15,958.68,14380.2,9210.52,8251.84,57.38
2023-10-22,Printer,Accessories,Asia,1,342.92,342.92,261.29,-81.63,-23.8
2024-11-03,Monitor,Accessories,Europe,13,239.2,3109.6,2447.25,2208.05,71.01
2023-12-25,Printer,Accessories,Asia,2,195.94,391.88,243.96,48.02,12.25
2023-10-13,Printer,Accessories,Europe,17,471.51,8015.67,6504.54,6033.03,75.27
2024-07-28,Printer,Accessories,North America,8,491.34,3930.72,2648.99,2157.65,54.89
2024-11-04,Router,Accessories,Asia,3,169.99,509.97,306.34,136.35,26.74
2023-07-04,Smartphone,Electronics,Asia,19,344.93,6553.67,5092.66,4747.73,72.44
2023-12-26,Laptop,Electronics,Europe,19,383.14,7279.66,6131.14,5748.0,78.96
2024-08-02,Router,Accessories,South America,17,223.14,3793.38,3357.41,3134.27,82.62
